id,text,author,name,followers,createdAt,likes,retweets,replies,views,lang,url
2103489437133050209,@SunsetLM Tới liền tới liền 1683 LENAMIU PLS LOVE EP3 #PlsLoveรักได้ไหมEP3,lenamiupfk,ᵖˡˢ รɳσωเεεεε 🍂,230,Fri Sep 25 14:18:57 +0000 2026,0,0,0,107,vi,https://x.com/lenamiupfk/status/2103489437133050209
2103487295555014763,Đừng ai mắng khun Peem nha 21 LENAMIU PLS LOVE EP3 #PlsLoveรักได้ไหมEP3,SunsetLM,Sunset🦋🧸,439,Fri Sep 25 14:10:26 +0000 2026,0,0,0,89,vi,https://x.com/SunsetLM/status/2103487295555014763
2103487162541076584,@SunsetLM @LenaMiu_CH3 @xudzuimo @lena__lorena @miunatshaa PeemPan aka LenaMiu cố lơnnnn nhá. Hai bạn iu nhau thật lâu ấyy 77 LENAMIU PLS LOVE EP3 #PlsLoveรักได้ไหมEP3,nikolai_mvp,Nikolai,52,Fri Sep 25 14:09:55 +0000 2026,0,0,0,84,vi,https://x.com/nikolai_mvp/status/2103487162541076584
2103486879073230978,Em tới đây 290 LENAMIU PLS LOVE EP3 #PlsLoveรักได้ไหมEP3,SunsetLM,Sunset🦋🧸,439,Fri Sep 25 14:08:47 +0000 2026,0,0,0,139,vi,https://x.com/SunsetLM/status/2103486879073230978
2103486484112367849,@SunsetLM @LenaMiu_CH3 @xudzuimo @lena__lorena @miunatshaa Peem hay Lena dịu dàng với Miu thôi nhé 777 LENAMIU PLS LOVE EP3 #PlsLoveรักได้ไหมEP3,nikolai_mvp,Nikolai,52,Fri Sep 25 14:07:13 +0000 2026,0,0,0,165,vi,https://x.com/nikolai_mvp/status/2103486484112367849
2103480240609845755,@SunsetLM @LenaMiu_CH3 @xudzuimo @lena__lorena @miunatshaa Nay 2 đứa dắt nhau đi để mẹ chặn cha Songsak cho 0114 LENAMIU PLS LOVE EP3 #PlsLoveรักได้ไหมEP3,iyz_yuil,sugarmeo_iyz.yuil,82,Fri Sep 25 13:42:24 +0000 2026,0,1,0,74,vi,https://x.com/iyz_yuil/status/2103480240609845755
2103480133533466720,@SunsetLM @LenaMiu_CH3 @xudzuimo @lena__lorena @miunatshaa Ước gì là con Lumi để Miunatsha bế đi mỗi ngày 772 LENAMIU PLS LOVE EP3 #PlsLoveรักได้ไหมEP3,raumeocuamiu,ᵖˡˢ Râu Mều của MiuNatsha 🐮🔫,167,Fri Sep 25 13:41:59 +0000 2026,0,0,0,63,vi,https://x.com/raumeocuamiu/status/2103480133533466720
2103479945016340532,@SunsetLM @LenaMiu_CH3 @xudzuimo @lena__lorena @miunatshaa Muốn tóc đẹp như LenaMiu hãy sử dụng H&amp;S 992 LENAMIU PLS LOVE EP3 #PlsLoveรักได้ไหมEP3,Ahnnmon,Ahn Mon:),485,Fri Sep 25 13:41:14 +0000 2026,0,0,0,41,vi,https://x.com/Ahnnmon/status/2103479945016340532
2103479548981686592,@SunsetLM @LenaMiu_CH3 @xudzuimo @lena__lorena @miunatshaa Pheem mình làm gì thì củng nhẹ nhàng thôi nha . Tui sót con gái tuiii á 1346 LENAMIU PLS LOVE EP3 #PlsLoveรักได้ไหมEP3,Duya_miii,𝚈𝚘𝚘𝚗𝚑𝚢𝚢𝚢𝟷𝟼𝟼🤎,216,Fri Sep 25 13:39:39 +0000 2026,0,0,0,27,vi,https://x.com/Duya_miii/status/2103479548981686592
2103479347268968758,@SunsetLM @LenaMiu_CH3 @xudzuimo @lena__lorena @miunatshaa husky ngoan thì chị Parn mới cho ăn bánh nghen 1134 LENAMIU PLS LOVE EP3 #PlsLoveรักได้ไหมEP3,ppntam,ᵖˡˢTP,271,Fri Sep 25 13:38:51 +0000 2026,0,0,0,52,vi,https://x.com/ppntam/status/2103479347268968758
2103479258299748725,@SunsetLM @LenaMiu_CH3 @xudzuimo @lena__lorena @miunatshaa Tôi chưa có H&amp;S nha 1493 LENAMIU PLS LOVE EP3 #PlsLoveรักได้ไหมEP3,raumeocuamiu,ᵖˡˢ Râu Mều của MiuNatsha 🐮🔫,167,Fri Sep 25 13:38:30 +0000 2026,1,1,0,47,vi,https://x.com/raumeocuamiu/status/2103479258299748725
2103479225265397774,@SunsetLM @LenaMiu_CH3 @xudzuimo @lena__lorena @miunatshaa Qua hôm nay có thể bay acc 168 LENAMIU PLS LOVE EP3 #PlsLoveรักได้ไหมEP3,Duya_miii,𝚈𝚘𝚘𝚗𝚑𝚢𝚢𝚢𝟷𝟼𝟼🤎,216,Fri Sep 25 13:38:22 +0000 2026,0,0,0,41,vi,https://x.com/Duya_miii/status/2103479225265397774
2103479111968772162,@SunsetLM @LenaMiu_CH3 @xudzuimo @lena__lorena @miunatshaa Pheem chị coi chừng em đó 2204 LENAMIU PLS LOVE EP3 #PlsLoveรักได้ไหมEP3,MSyn_142224,ᵖˡˢ synmiu,30,Fri Sep 25 13:37:55 +0000 2026,0,0,0,42,vi,https://x.com/MSyn_142224/status/2103479111968772162
2103478776038646022,@SunsetLM @LenaMiu_CH3 @xudzuimo @lena__lorena @miunatshaa Pls Love gặp nhiều may mắn nha 112 LENAMIU PLS LOVE EP3 #PlsLoveรักได้ไหมEP3,MinhMinh211214,992k1,349,Fri Sep 25 13:36:35 +0000 2026,0,0,0,45,vi,https://x.com/MinhMinh211214/status/2103478776038646022
2103478752693170462,@SunsetLM @nottinghill2511 @LenaMiu_CH3 @xudzuimo @lena__lorena @miunatshaa mong hôm nay ko bay acc nam mô 🙏 258 LENAMIU PLS LOVE EP3 #PlsLoveรักได้ไหมEP3,beganeeeee,🐣🐣🐣,1069,Fri Sep 25 13:36:30 +0000 2026,0,0,0,42,vi,https://x.com/beganeeeee/status/2103478752693170462
2103478606085374460,@SunsetLM @LenaMiu_CH3 @xudzuimo @lena__lorena @miunatshaa Peem là của Parn 2233 LENAMIU PLS LOVE EP3 #PlsLoveรักได้ไหมEP3,mathikieudiem,ᵖˡˢ Mã Thị Kiều Diểm,276,Fri Sep 25 13:35:55 +0000 2026,0,0,0,43,vi,https://x.com/mathikieudiem/status/2103478606085374460
2103478538670367012,@SunsetLM @nottinghill2511 @LenaMiu_CH3 @xudzuimo @lena__lorena @miunatshaa The way I’ve been waiting all week for this episode 🫶 1589 LENAMIU PLS LOVE EP3 #PlsLoveรักได้ไหมEP3,beganeeeee,🐣🐣🐣,1069,Fri Sep 25 13:35:39 +0000 2026,0,0,0,58,en,https://x.com/beganeeeee/status/2103478538670367012
2103478529770098758,@SunsetLM @LenaMiu_CH3 @xudzuimo @lena__lorena @miunatshaa Parn là của Peem 1122 LENAMIU PLS LOVE EP3 #PlsLoveรักได้ไหมEP3,mathikieudiem,ᵖˡˢ Mã Thị Kiều Diểm,276,Fri Sep 25 13:35:36 +0000 2026,0,0,0,53,vi,https://x.com/mathikieudiem/status/2103478529770098758
2103478112826831200,@SunsetLM @LenaMiu_CH3 @xudzuimo @lena__lorena @miunatshaa Trung thu mn vui vẻ nha 116 LENAMIU PLS LOVE EP3 #PlsLoveรักได้ไหมEP3,ht_216,ᵖˡˢ HT HT,182,Fri Sep 25 13:33:57 +0000 2026,0,0,0,19,vi,https://x.com/ht_216/status/2103478112826831200
2103478022133453123,@SunsetLM @LenaMiu_CH3 @xudzuimo @lena__lorena @miunatshaa Cố lên nhaaaaa 628 LENAMIU PLS LOVE EP3 #PlsLoveรักได้ไหมEP3,raumeocuamiu,ᵖˡˢ Râu Mều của MiuNatsha 🐮🔫,167,Fri Sep 25 13:33:35 +0000 2026,0,0,0,33,vi,https://x.com/raumeocuamiu/status/2103478022133453123
2103477819124990350,@SunsetLM @LenaMiu_CH3 @xudzuimo @lena__lorena @miunatshaa tui sợ bay acc lắm phải trend từ từ 239 LENAMIU PLS LOVE EP3 #PlsLoveรักได้ไหมEP3,raumeocuamiu,ᵖˡˢ Râu Mều của MiuNatsha 🐮🔫,167,Fri Sep 25 13:32:47 +0000 2026,0,0,0,48,vi,https://x.com/raumeocuamiu/status/2103477819124990350
2103476707726643426,@SunsetLM @LenaMiu_CH3 @xudzuimo @lena__lorena @miunatshaa Parn là của Peem khỏi dành 391 LENAMIU PLS LOVE EP3 #PlsLoveรักได้ไหมEP3,Ahnnmon,Ahn Mon:),485,Fri Sep 25 13:28:22 +0000 2026,0,0,0,35,vi,https://x.com/Ahnnmon/status/2103476707726643426
2103475817292656684,@SunsetLM @LenaMiu_CH3 @xudzuimo @lena__lorena @miunatshaa Ước gì ep3 trend lên 600k 👉🏻👈🏻 2511 LENAMIU PLS LOVE EP3 #PlsLoveรักได้ไหมEP3,DdooxToons,ddoox_toons,160,Fri Sep 25 13:24:50 +0000 2026,0,0,0,37,vi,https://x.com/DdooxToons/status/2103475817292656684
2103475612371521934,"@SunsetLM @LenaMiu_CH3 @xudzuimo @lena__lorena @miunatshaa PheêmParn hết phim lấy nhau, LenaMiu cũng y dị cho em ạ 2511 LENAMIU PLS LOVE EP3 #PlsLoveรักได้ไหมEP3",alohalucy_2511,Rose are rosie,34,Fri Sep 25 13:24:01 +0000 2026,0,0,0,30,vi,https://x.com/alohalucy_2511/status/2103475612371521934
2103475528858804351,@SunsetLM @LenaMiu_CH3 @xudzuimo @lena__lorena @miunatshaa Tui đẫ đến được đây rồi sao 536 LENAMIU PLS LOVE EP3 #PlsLoveรักได้ไหมEP3,Ahnnmon,Ahn Mon:),485,Fri Sep 25 13:23:41 +0000 2026,0,0,0,21,vi,https://x.com/Ahnnmon/status/2103475528858804351
2103474933846438062,@SunsetLM @LenaMiu_CH3 @xudzuimo @lena__lorena @miunatshaa Cố gắng lên nào ... 712 LENAMIU PLS LOVE EP3 #PlsLoveรักได้ไหมEP3,xuananm7275,ᵖˡˢ Endless Love-Anx,334,Fri Sep 25 13:21:19 +0000 2026,0,0,0,29,vi,https://x.com/xuananm7275/status/2103474933846438062
2103474913848033347,@SunsetLM @LenaMiu_CH3 @lena__lorena @miunatshaa Giờ không nhận quà đợi khi nào mới nhận nữa 2453 LENAMIU PLS LOVE EP3 #PlsLoveรักได้ไหมEP3,xudzuimo,ICEM,101,Fri Sep 25 13:21:14 +0000 2026,0,1,0,40,vi,https://x.com/xudzuimo/status/2103474913848033347
2103474170843783249,@SunsetLM @LenaMiu_CH3 @xudzuimo @lena__lorena @miunatshaa Hai đứa con gái tối nay đừng chửi nhau nữa nha 1625 LENAMIU PLS LOVE EP3 #PlsLoveรักได้ไหมEP3,puppypupupy,ᵖˡˢunlimited,79,Fri Sep 25 13:18:17 +0000 2026,0,0,0,17,vi,https://x.com/puppypupupy/status/2103474170843783249
2103474162811769272,"@SunsetLM @LenaMiu_CH3 @xudzuimo @lena__lorena @miunatshaa 246 má parn, 357 mẹ peem, cn nhảy qua line bạn gái :&gt; 357 LENAMIU PLS LOVE EP3 #PlsLoveรักได้ไหมEP3",b_ob_nny,ᵖˡˢber 🧸,279,Fri Sep 25 13:18:15 +0000 2026,0,0,0,25,vi,https://x.com/b_ob_nny/status/2103474162811769272
